"from","to"
"Michel Mauvilly","Nicolas Valdeyron"
"Michel Mauvilly","Sandrine Costamagno"
"Nicolas Valdeyron","Jean-Denis Vigne"
"Nicolas Valdeyron","Michel Mauvilly"
"Nicolas Valdeyron","Sandrine Costamagno"
"Sandrine Costamagno","Jean-Denis Vigne"
"Sandrine Costamagno","Michel Mauvilly"
"Sandrine Costamagno","Nicolas Valdeyron"
"Corinne Rousse","Corinne Sanchez"
"Corinne Rousse","Darío Bernal"
"Corinne Rousse","Francis Tassaux"
"Corinne Rousse","Jean-Pierre Brun"
"Corinne Rousse","Pedro Rodríguez Oliva"
"Corinne Sanchez","Corinne Rousse"
"Corinne Sanchez","Darío Bernal"
"Corinne Sanchez","Francis Tassaux"
"Corinne Sanchez","Jean-Pierre Brun"
"Corinne Sanchez","Pedro Rodríguez Oliva"
"Darío Bernal","Corinne Rousse"
"Darío Bernal","Corinne Sanchez"
"Darío Bernal","Francis Tassaux"
"Darío Bernal","Jean-Pierre Brun"
"Darío Bernal","Pedro Rodríguez Oliva"
"Francis Tassaux","Corinne Rousse"
"Francis Tassaux","Corinne Sanchez"
"Francis Tassaux","Darío Bernal"
"Francis Tassaux","Jean-Pierre Brun"
"Francis Tassaux","Pedro Rodríguez Oliva"
"Jean-Pierre Brun","Corinne Rousse"
"Jean-Pierre Brun","Corinne Sanchez"
"Jean-Pierre Brun","Darío Bernal"
"Jean-Pierre Brun","Francis Tassaux"
"Jean-Pierre Brun","Pedro Rodríguez Oliva"
"Jean-Pierre Brun","Albert Ribera i Lacomba"
"Jean-Pierre Brun","Carlo Rescigno"
"Jean-Pierre Brun","Carmela Capaldi"
"Jean-Pierre Brun","Gloria Olcese"
"Jean-Pierre Brun","Michel Bonifay"
"Pedro Rodríguez Oliva","Corinne Rousse"
"Pedro Rodríguez Oliva","Corinne Sanchez"
"Pedro Rodríguez Oliva","Darío Bernal"
"Pedro Rodríguez Oliva","Francis Tassaux"
"Pedro Rodríguez Oliva","Jean-Pierre Brun"
"Dominique Marquis","Didier Poton de Xaintrailles"
"Dominique Marquis","Guy Laperrière"
"Dominique Marquis","Patrick Cabanel"
"Dominique Marquis","Paul-André Linteau"
"Dominique Marquis","Tangi Villerbu"
"Guy Laperrière","Didier Poton de Xaintrailles"
"Guy Laperrière","Dominique Marquis"
"Guy Laperrière","Patrick Cabanel"
"Guy Laperrière","Paul-André Linteau"
"Guy Laperrière","Tangi Villerbu"
"Patrick Cabanel","Didier Poton de Xaintrailles"
"Patrick Cabanel","Dominique Marquis"
"Patrick Cabanel","Guy Laperrière"
"Patrick Cabanel","Paul-André Linteau"
"Patrick Cabanel","Tangi Villerbu"
"Patrick Cabanel","Denis Pelletier"
"Patrick Cabanel","Perrine Simon-Nahum"
"Patrick Cabanel","Philippe Boutry"
"Patrick Cabanel","Rita Hermon-Belot"
"Paul-André Linteau","Didier Poton de Xaintrailles"
"Paul-André Linteau","Dominique Marquis"
"Paul-André Linteau","Guy Laperrière"
"Paul-André Linteau","Patrick Cabanel"
"Paul-André Linteau","Tangi Villerbu"
"Tangi Villerbu","Didier Poton de Xaintrailles"
"Tangi Villerbu","Dominique Marquis"
"Tangi Villerbu","Guy Laperrière"
"Tangi Villerbu","Patrick Cabanel"
"Tangi Villerbu","Paul-André Linteau"
"Alexandru Avram","Christian Bouchet"
"Alexandru Avram","Constantina Bacalexi"
"Alexandru Avram","Pascal Payen"
"Alexandru Avram","Évelyne Scheid-Tissinier"
"Christian Bouchet","Alexandru Avram"
"Christian Bouchet","Constantina Bacalexi"
"Christian Bouchet","Pascal Payen"
"Christian Bouchet","Évelyne Scheid-Tissinier"
"Constantina Bacalexi","Alexandru Avram"
"Constantina Bacalexi","Christian Bouchet"
"Constantina Bacalexi","Pascal Payen"
"Constantina Bacalexi","Évelyne Scheid-Tissinier"
"Pascal Payen","Alexandru Avram"
"Pascal Payen","Christian Bouchet"
"Pascal Payen","Constantina Bacalexi"
"Pascal Payen","Évelyne Scheid-Tissinier"
"Évelyne Scheid-Tissinier","Alexandru Avram"
"Évelyne Scheid-Tissinier","Christian Bouchet"
"Évelyne Scheid-Tissinier","Constantina Bacalexi"
"Évelyne Scheid-Tissinier","Pascal Payen"
"Chantal Bordes-Benayoun","Emmanuel Ma Mung"
"Chantal Bordes-Benayoun","Lihua Zheng"
"Chantal Bordes-Benayoun","Lucine Endelstein"
"Chantal Bordes-Benayoun","Nelly Robin"
"Chantal Bordes-Benayoun","William Berthomière"
"Emmanuel Ma Mung","Chantal Bordes-Benayoun"
"Emmanuel Ma Mung","Lihua Zheng"
