"from","to"
1447,285
1447,346
1447,347
1448,173
1448,245
1448,268
1448,307
1448,38
1448,42
1448,44
1448,45
1448,47
1448,48
1448,6
1448,64
1449,134
1449,318
1449,336
1449,387
1450,117
1450,147
1450,154
1451,118
1451,192
1451,199
1452,142
1452,154
1452,94
1452,96
1453,158
1453,233
1453,237
1453,270
1453,280
1453,289
1453,384
1453,40
1453,52
1453,94
1453,96
1454,11
1454,123
1454,142
1454,16
1454,204
1454,275
1454,350
1455,119
1455,94
1455,96
1456,145
1456,156
1456,94
1457,146
1457,155
1457,40
1457,94
1458,113
1458,130
1458,154
1459,137
1459,239
1459,246
1459,305
1459,383
1460,234
1460,316
1460,322
1461,134
1461,155
1461,201
1462,11
1462,131
1462,154
1462,26
1463,116
1463,166
1463,57
1463,91
1463,94
1464,117
1464,228
1464,238
1465,113
1465,192
1465,199
1465,94
1466,27
1466,41
1466,68
1467,118
1467,142
1467,154
1467,40
1468,134
1468,154
1468,309
1468,343
1468,363
1468,64
1469,40
1469,52
1469,58
1469,96
1470,26
1470,40
1470,52
1470,64
1470,77
1470,94
1470,96
1471,142
1471,154
1471,34
1471,41
1471,94
1472,130
1472,154
1472,221
1472,292
1473,120
1473,135
1473,40
1473,94
1473,96
1474,332
1474,34
1474,350
1474,96
1475,10
1475,11
1475,4
1476,25
1476,30
1476,96
1477,25
1477,44
1477,57
1477,85
1478,117
1478,194
1478,310
1479,278
1479,290
1479,332
1480,139
1480,154
1480,40
1481,113
1481,314
1481,94
1482,11
1482,16
1482,22
1483,107
1483,124
1483,127
1483,182
1483,252
1483,36
1483,52
1483,62
1483,68
1483,70
1483,99
1484,10
1484,191
1484,239
1484,35
1484,60
1485,215
1485,219
1485,293
1485,41
1485,53
1486,118
1486,142
1486,154
1486,40
1486,94
1487,113
1487,142
1487,154
1487,94
1488,243
1488,380
1488,381
1489,192
1489,236
1489,26
1489,340
1489,349
1490,165
1490,168
1490,234
1491,118
1491,134
1491,154
1491,29
1491,33
1491,356
1492,202
1492,205
1492,267
1493,134
1493,156
1493,94
1494,145
1494,192
1494,293
1494,374
1494,40
1495,120
1495,66
1495,96
1496,118
1496,36
1496,96
1497,147
1497,26
1497,94
1498,192
1498,228
1498,238
1499,100
1499,104
1499,213
1499,94
1500,116
1500,132
1500,156
1500,379
1501,40
1501,94
1501,95
1501,97
1502,41
1502,53
1502,74
1503,118
1503,147
1503,154
1503,174
1504,10
1504,129
1504,3
1505,117
1505,132
1505,156
1505,94
1505,96
1506,210
1506,389
1506,391
1507,118
1507,142
1507,154
1507,255
1507,260
