"Source";"Target"
56;"BLAdd22283"
56;"MinULZ822"
56;"HunHM129"
58;"BLHar4196"
59;"BodSelSup52"
59;"CULAdd8335"
59;"CULDd11"
60;"BLAdd5467"
60;"NLS17122"
61;"NLWPork10"
61;"YaleBei365"
62;"BodAsh42"
62;"BodEngPoeta1"
62;"CULAdd8335"
62;"CULDd11"
62;"CULGg531"
62;"Lam260"
62;"MinULZ822"
62;"HunHM129"
63;"BodDou302"
64;"BodSelSup52"
64;"BodAsh42"
64;"BodEngPoeta1"
64;"CULAdd8335"
64;"CULDd11"
64;"CULGg531"
64;"BLAdd38010"
64;"BLHar2391"
64;"EDCPCM"
64;"Lam260"
64;"MinULZ822"
64;"HunHM129"
65;"BodSelSup52"
65;"BodAsh42"
65;"CULAdd8335"
65;"CULDd11"
65;"BLAdd38010"
65;"BLCottTibEVII"
65;"BLHar2391"
65;"BLHar4196"
65;"Lam260"
65;"MinULZ822"
65;"HunHM129"
66;"BodSelSup52"
66;"BodAsh42"
66;"BodEngPoeta1"
66;"CULAdd8335"
66;"CULDd11"
66;"CULGg531"
66;"BLCottTibEVII"
66;"BLHar2391"
66;"BLHar4196"
66;"Lam260"
66;"MinULZ822"
66;"HunHM129"
67;"BLSl3548"
68;"CamClare13"
69;"BodRawPoe118"
69;"BLAru20"
69;"BLAru168"
69;"BLAru396"
70;"BodDig86"
71;"NLS18721"
72;"Chicago31"
74;"BodLauMis463"
74;"OxfTri57"
74;"CULAdd3039"
74;"CamCCC145"
74;"CamMagPep2344"
74;"BLCottCleoDIX"
74;"BLCottJulDIX"
74;"BLEge2891"
74;"BLHar2277"
75;"BodLauMis77"
76;"BodLauMis77"
77;"BodTan88"
77;"BodTan88"
78;"BLCottTibEVII"
78;"BLHar4196"
79;"Asloan"
79;"ESRORH13"
80;"BLAdd5665"
81;"CamTCC599"
81;"BLAdd36983"
82;"BodLauMis463"
82;"OxfTri57"
82;"CULAdd3039"
82;"CamCCC145"
82;"CamMagPep2344"
82;"CamTCC605"
82;"BLAdd10301"
82;"BLCottCleoDIX"
82;"BLCottJulDIX"
82;"BLEge2891"
82;"BLHar2277"
83;"BodLauMis463"
83;"OxfTri57"
83;"CULAdd3039"
83;"CamCCC145"
83;"CamMagPep2344"
83;"CamTCC605"
83;"BLAdd10301"
83;"BLCottCleoDIX"
83;"BLEge2891"
83;"BLHar2277"
84;"BodLauMis463"
84;"OxfTri57"
84;"CULAdd3039"
84;"CamCCC145"
84;"CamMagPep2344"
84;"CamTCC605"
84;"BLAdd10301"
84;"BLCottCleoDIX"
84;"BLCottJulDIX"
84;"BLHar2277"
85;"BodLauMis463"
85;"OxfTri57"
85;"CULAdd3039"
85;"CamCCC145"
85;"CamMagPep2344"
85;"CamTCC605"
85;"BLAdd10301"
85;"BLCottCleoDIX"
85;"BLCottJulDIX"
85;"BLEge2891"
85;"BLHar2277"
86;"CollArmsAr27"
87;"BLAdd60577"
88;"BodAsh1393"
89;"BLHar682"
90;"CULKk424"
91;"CULKk424"
92;"Basel"
93;"BodAsh1393"
94;"BLHar2321"
95;"NLS1931"
96;"OxfBal354"
97;"BLHar682"
98;"CULIi38"
98;"YaleBei163"
99;"YaleBei365"
100;"BLAdd33995"
100;"Lincoln91"
100;"YaleBeiOs19558"
101;"CULLl18"
102;"GULHun230"
103;"BodLatTheD1"
104;"OxfJesus29"
106;"CULEe112"
107;"HerefordO35"
108;"BLHar116"
109;"BodEngPoeta1"
110;"NLWPen356"
111;"PierpontM876"
112;"BodJam43"
112;"BodRawC86"
112;"CULLl414"
112;"CamTCC599"
113;"BLSl2593"
114;"CULFf548"
115;"CamTCC605"
116;"BLCottTibEVII"
116;"BLHar4196"
117;"BodEngPoete1"
118;"BodAsh45I"
118;"OxfBal354"
118;"CamStJohn195"
118;"CULDd819"
118;"BLAdd60577"
118;"BLLan699"
118;"BLSl747"
