,"gouvernement","nouveau","france","trouver","canada","saint","déclarer","bien","état","rendre","premier","ministre","aller","moi","dernier","foi","montréal","langue","million","rester","dire","étranger","jour","national","elle","cinq","cent","prendre","autre","province","encore","nous","donner","important","américain","affaire","affirmer","cour","chef","devoir","travail","tenir","président","monde","états","unis","avant","anglais","problème","fédéral","temps","notamment","point","grand","général","gaulle","politique","trois","paris","je","ottawa","savoir","lui","homme","vouloir","venir","notre","non","voir","dix","plusieurs","pays","économique","jean","permettre","libéral","jeune","contre","parti","social","francophone","québécois","culturel"
"supprimer",1,1,1,0,2,1,4,2,1,0,1,1,0,1,2,0,2,1,0,1,2,2,0,1,2,0,1,2,3,0,0,2,0,0,1,0,0,1,0,4,0,0,1,1,1,1,1,1,2,0,1,1,1,0,0,0,2,2,2,2,2,0,2,1,0,0,2,1,1,0,0,2,2,1,1,1,1,0,0,0,0,1,0
"suprême",5,0,0,0,4,0,2,2,3,2,4,3,0,1,1,0,0,3,0,1,1,0,2,1,1,0,0,3,3,4,1,2,1,0,1,0,0,20,1,1,3,1,1,2,0,1,3,1,0,4,0,2,1,0,0,0,2,1,0,0,3,0,1,3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1
"surgir",0,3,1,1,0,4,2,2,1,1,0,0,1,0,2,0,1,0,1,3,1,0,1,0,3,1,1,1,1,0,2,2,0,0,1,1,1,1,2,2,1,1,0,1,0,0,0,0,2,0,1,1,1,2,1,0,3,1,1,1,1,2,0,1,2,0,1,2,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0
"talent",1,0,4,1,3,0,1,5,2,1,1,1,1,1,0,2,2,1,1,0,2,0,2,0,3,0,0,1,7,1,1,2,2,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,2,0,2,1,0,5,0,1,3,0,3,0,1,1,3,1,2,0,3,0,5,0,1,3,1,1,1,0,1,2,0,0,0,1,0
"tarif",1,1,3,0,3,0,1,3,0,1,4,1,0,1,3,2,0,0,0,2,4,2,3,3,1,1,0,2,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,1,1,0,0,1,0,1,6,1,1,1,0,1,0,0,1,6,5,1,1,0,5,2,0,0,1,1,0,1,3,0,0,0
"tort",4,0,2,2,4,1,2,5,1,1,4,1,0,1,0,0,0,0,0,0,3,1,1,3,2,0,0,3,4,1,0,2,4,0,0,1,0,0,1,3,0,0,0,0,1,0,3,2,1,2,2,1,2,2,2,2,2,1,1,2,0,1,3,1,1,1,1,2,2,1,1,1,0,1,0,2,1,1,1,2,1,1,1
"totalement",1,0,4,0,3,2,0,1,1,0,5,0,1,1,2,1,2,1,0,0,3,1,2,0,4,0,0,1,3,1,4,2,2,1,0,0,0,0,0,5,0,0,0,4,1,1,0,0,0,0,1,0,2,3,0,0,2,1,0,1,0,1,2,1,4,1,2,6,0,0,1,2,1,1,1,1,1,0,1,0,2,1,1
"totalité",2,2,4,0,1,1,0,1,0,1,2,1,0,0,0,0,0,1,2,1,0,1,0,1,3,1,0,0,3,1,1,0,0,0,0,1,0,1,0,2,2,0,0,0,1,1,1,2,0,2,0,0,0,2,2,2,4,0,0,0,0,1,3,1,1,2,0,0,0,0,0,6,0,0,2,0,1,1,2,2,0,1,0
"tromper",2,1,2,1,2,2,0,1,1,0,2,1,0,0,0,3,1,1,0,0,3,3,0,1,5,0,1,0,3,1,3,3,0,0,0,1,2,0,2,1,1,0,2,1,0,0,0,6,1,1,1,1,1,2,3,2,3,0,1,4,2,0,2,5,3,3,1,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"tuer",0,2,1,0,0,3,1,2,0,0,1,1,1,2,1,0,2,0,0,0,2,0,3,0,2,1,1,0,7,2,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,1,0,1,0,2,0,1,3,4,0,2,2,0,1,1,2,1,0,0,0,0,5,1,0,0,0,1,0
"tunisie",4,1,3,0,8,0,1,1,1,3,3,1,1,1,2,0,1,0,4,0,1,1,1,1,3,1,1,2,3,0,2,3,2,3,0,2,0,0,1,1,1,0,1,1,1,0,1,0,2,1,1,2,1,1,3,0,2,3,1,0,2,1,1,0,0,4,2,2,0,1,1,9,3,1,1,1,0,1,0,0,2,0,2
"vacance",0,1,4,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,2,0,1,2,3,5,2,0,2,2,0,2,1,0,0,1,1,0,0,2,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,3,3,1,1,1,1,0,1,1,2,0,1,1,0,1,0,2,0,4,0,0,0,0,4,0,0,0,0,3,4
"venu",4,4,2,0,2,1,2,5,0,0,3,5,1,1,3,2,1,0,2,1,1,1,1,3,1,0,1,2,3,1,2,1,0,0,0,0,0,2,1,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,3,1,2,3,4,1,0,1,3,0,0,0,1,0,1,1,2,2,0,3,1,1,1,1,1,1,1,4,1
"victime",3,0,2,1,1,1,1,3,0,0,5,3,0,0,3,1,1,1,1,1,1,1,0,0,2,0,0,2,2,2,2,1,0,0,0,0,0,1,1,2,3,0,0,1,0,1,0,0,2,2,1,0,2,2,1,1,3,1,1,2,0,0,3,1,1,0,0,3,0,1,0,2,0,1,1,1,1,1,1,1,4,0,1
"vision",0,2,4,1,1,2,0,2,1,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,5,0,0,4,1,0,2,1,1,0,1,0,0,0,2,0,0,0,1,4,0,1,0,0,0,0,2,0,1,2,3,1,2,1,0,2,0,0,1,2,0,3,0,1,0,0,0,1,0,1,0,0,2,0,0,1,1,0,3
"vive",2,0,5,0,7,0,0,2,1,0,0,2,0,1,1,0,4,0,1,0,1,0,0,0,1,0,0,1,4,1,1,0,1,0,0,1,1,1,3,1,0,2,2,0,0,0,1,0,1,1,0,1,0,1,8,8,0,0,3,2,3,0,2,3,2,1,0,0,1,0,1,2,0,1,0,0,0,1,0,0,0,2,1
"voire",3,1,2,0,3,2,1,4,0,0,1,2,2,3,3,0,1,1,0,0,1,0,2,0,7,0,0,2,4,1,0,2,0,0,2,1,1,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,3,0,0,1,2,0,1,1,1,2,3,1,1,0,3,3,3,0,1,0,0,0,1,1,2,0,4
