,"gouvernement","nouveau","france","trouver","canada","saint","déclarer","bien","état","rendre","premier","ministre","aller","moi","dernier","foi","montréal","langue","million","rester","dire","étranger","jour","national","elle","cinq","cent","prendre","autre","province","encore","nous","donner","important","américain","affaire","affirmer","cour","chef","devoir","travail","tenir","président","monde","états","unis","avant","anglais","problème","fédéral","temps","notamment","point","grand","général","gaulle","politique","trois","paris","je","ottawa","savoir","lui","homme","vouloir","venir","notre","non","voir","dix","plusieurs","pays","économique","jean","permettre","libéral","jeune","contre","parti","social","francophone","québécois","culturel"
"hommage",1,0,5,1,5,3,0,3,2,29,5,3,1,1,5,2,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,2,1,0,0,1,0,2,4,0,1,1,5,1,0,0,0,0,0,1,0,0,1,0,5,4,1,1,2,2,1,1,1,2,1,3,1,0,0,0,0,3,0,2,1,0,2,0,1,0,0,1,0
"hôpital",2,1,0,0,1,3,1,2,1,1,4,0,1,1,0,2,1,0,1,1,0,0,3,1,3,2,5,1,3,7,0,0,0,2,0,0,0,1,1,3,1,1,0,0,0,0,0,1,3,0,0,2,0,2,1,0,0,3,1,0,1,0,0,0,0,2,1,4,0,3,2,1,0,2,2,0,2,1,1,1,0,2,1
"hostile",6,0,1,0,5,0,0,1,1,0,1,1,1,0,4,0,1,2,1,1,1,1,0,0,3,0,0,1,6,4,0,3,0,0,1,0,1,0,1,1,0,1,2,1,1,2,1,1,0,1,0,2,1,2,5,2,3,0,0,1,1,1,5,1,0,1,2,1,1,0,1,4,1,0,1,1,0,1,1,2,2,0,1
"hostilité",6,4,3,1,3,0,5,3,0,1,0,1,1,0,1,2,0,0,0,1,1,0,0,0,2,0,0,0,1,0,2,1,0,1,1,1,0,0,1,2,0,1,2,2,1,1,5,1,0,2,0,0,1,4,1,1,2,3,0,1,2,1,0,0,0,0,1,0,0,0,0,4,0,0,1,3,1,2,1,0,0,1,0
"hydro",4,5,3,0,4,4,0,1,0,0,1,1,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,1,8,1,0,0,5,1,1,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,3,0
"hypothèse",0,2,2,0,2,0,1,7,2,0,4,4,1,1,2,0,1,1,1,2,1,1,0,0,2,0,1,1,3,2,0,2,0,0,1,0,0,0,0,3,1,1,0,1,1,0,0,1,1,0,1,1,2,0,3,1,2,1,0,0,1,0,1,1,2,2,0,3,1,1,1,1,0,0,1,0,1,0,0,0,2,0,0
"idéal",2,2,1,1,6,0,3,3,1,1,1,2,1,0,1,2,0,1,0,0,4,1,1,1,1,0,0,2,5,1,1,3,0,0,2,0,0,0,0,3,0,0,1,5,1,1,0,2,0,2,0,0,0,4,0,0,3,1,0,2,0,0,3,1,0,1,2,2,0,0,2,3,0,0,1,0,1,2,2,0,2,2,0
"immigrant",6,3,1,0,9,0,1,1,0,0,3,1,1,1,2,1,3,3,3,1,0,1,0,1,1,2,2,3,3,5,1,0,0,0,2,0,1,1,0,2,0,0,0,0,1,1,0,6,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,1,1,3,1,4,0,0,1,0,0,2,0,1,5,3,0
"implantation",2,6,2,0,4,0,2,2,0,0,1,2,3,1,4,1,0,2,0,0,0,1,0,0,3,0,0,0,1,5,1,1,1,2,1,0,0,4,0,4,0,1,0,0,1,3,0,0,0,0,0,3,1,2,0,0,2,1,0,0,1,0,2,0,1,2,1,0,0,0,3,1,0,1,3,1,0,0,0,0,0,1,3
"impliquer",4,1,2,1,6,0,0,0,0,1,1,3,2,1,1,1,2,2,1,0,1,1,1,2,4,0,1,0,5,0,2,0,2,0,0,7,0,0,1,4,2,1,1,3,1,1,0,2,0,1,0,2,0,3,2,2,3,1,0,0,0,0,2,1,0,1,1,1,1,1,1,2,2,0,0,0,3,2,1,1,0,4,0
